date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:30	18476/18476	---M--	200	added ('OK')	application/font-woff	etag:%22482c-589d867a63c7e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.woff	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.woff	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:30	55652/55652	---M--	200	added ('OK')	image/svg+xml	etag:%22d964-589d867a63c7e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.svg	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/open-sans-v15-latin-700.svg	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:30	169663/169663	---M--	200	added ('OK')	image/png	etag:%22296bf-589d867a686b6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/nav_header.png	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/nav_header.png	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:30	121732/121732	---M--	200	added ('OK')	image/png	etag:%221db84-589d867a67ee6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/logo_banner_lighter.png	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/logo_banner_lighter.png	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:30	3944/3944	---M--	200	added ('OK')	image/png	etag:%22f68-589d867a67716%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/fssi_logo.png	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/fssi_logo.png	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:31	46928/46928	---M--	200	added ('OK')	image/png	etag:%22b750-589d867a65fa6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/breadcrumb_banner.png	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/breadcrumb_banner.png	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:31	298/298	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Mar%202020%2020:55:32%20GMT	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/svg/fullscreen.svg	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/svg/fullscreen.svg	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:31	297/297	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2001%20Mar%202020%2020:55:32%20GMT	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/svg/hamburger.svg	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/svg/hamburger.svg	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:31	7603/7603	---M--	200	added ('OK')	image/png	etag:%221db3-589d867a67716%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/flipme_icon.png	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/flipme_icon.png	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:32	1500/1500	---M--	200	added ('OK')	image/png	etag:%225dc-589d867a67ee6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/learning_objectives_inverse.png	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/theme/learning_objectives_inverse.png	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
